author,url,doi,issn,year,pages,journal,title,ENTRYTYPE,ID,
Luca Maria Chiesa and Federica {Di Cesare} and Giacomo Mosconi and Radmila Pavlovic and Maria Campaniello and Michele Tomaiuolo and Michele Mangiacotti and Eugenio Chiaravalle and Sara Panseri,https://www.sciencedirect.com/science/article/pii/S0308814621027060,https://doi.org/10.1016/j.foodchem.2021.131700,0308-8146,2022,131700,Food Chemistry,Lipidomics profile of irradiated ground meat to support food safety,article,CHIESA2022131700,
Ignacio Cabezudo and Mario O. Salazar and I. Ayelen Ramallo and Ricardo L.E. Furlan,https://www.sciencedirect.com/science/article/pii/S0308814622008998,https://doi.org/10.1016/j.foodchem.2022.132937,0308-8146,2022,132937,Food Chemistry,Effect-directed analysis in food by thin-layer chromatography assays,article,CABEZUDO2022132937,
Yueying Yao and Baojun Xu,https://www.sciencedirect.com/science/article/pii/S0308814621013698,https://doi.org/10.1016/j.foodchem.2021.130363,0308-8146,2021,130363,Food Chemistry,New insights into chemical compositions and health promoting effects of edible oils from new resources,article,YAO2021130363,
Berkay Kopuk and Recep Gunes and Ibrahim Palabiyik,https://www.sciencedirect.com/science/article/pii/S0308814622003181,https://doi.org/10.1016/j.foodchem.2022.132356,0308-8146,2022,132356,Food Chemistry,Cold plasma modification of food macromolecules and effects on related products,article,KOPUK2022132356,
Janira Jaén and Celia Domeño and Cristina Nerín,https://www.sciencedirect.com/science/article/pii/S0308814622017071,https://doi.org/10.1016/j.foodchem.2022.133745,0308-8146,2022,133745,Food Chemistry,Development of an analytical method for the determination of mineral oil aromatic hydrocarbons (MOAH) from printing inks in food packaging,article,JAEN2022133745,
Ademar Wong and Anderson M. Santos and Andy A. Cardenas-Riojas and Angélica M. Baena-Moncada and Maria D.P.T. Sotomayor,https://www.sciencedirect.com/science/article/pii/S0308814622003466,https://doi.org/10.1016/j.foodchem.2022.132384,0308-8146,2022,132384,Food Chemistry,"Voltammetric sensor based on glassy carbon electrode modified with hierarchical porous carbon, silver sulfide nanoparticles and fullerene for electrochemical monitoring of nitrite in food samples",article,WONG2022132384,
Wenyan Shi and Xinming Huo and Xinyue Ding and Peiyuan Zhu and Yutong Wan and Xinqiong Lu and Rui Feng and Quan Yu and Xiaohao Wang,https://www.sciencedirect.com/science/article/pii/S0308814622007701,https://doi.org/10.1016/j.foodchem.2022.132808,0308-8146,2022,132808,Food Chemistry,Rapid screening of illegally added drugs in functional food using a miniature ion trap mass spectrometer,article,SHI2022132808,
Joanna Tkaczewska and Piotr Kulawik and Ewelina Jamróz and Paulina Guzik and Marzena Zając and Andrzej Szymkowiak and Katarzyna Turek,https://www.sciencedirect.com/science/article/pii/S0308814621003538,https://doi.org/10.1016/j.foodchem.2021.129347,0308-8146,2021,129347,Food Chemistry,One- and double-layered furcellaran/carp skin gelatin hydrolysate film system with antioxidant peptide as an innovative packaging for perishable foods products,article,TKACZEWSKA2021129347,
Mohamed A. Salem and Riham A. El-Shiekh and Nora M. Aborehab and Ahmed A. Al‐Karmalawy and Shahira M. Ezzat and Saleh Alseekh and Alisdair R. Fernie,https://www.sciencedirect.com/science/article/pii/S0308814622018684,https://doi.org/10.1016/j.foodchem.2022.133906,0308-8146,2023,133906,Food Chemistry,Metabolomics driven analysis of Nigella sativa seeds identifies the impact of roasting on the chemical composition and immunomodulatory activity,article,SALEM2023133906,
Min Wu and Mingyu Zhi and Ying Liu and Jianzhong Han and Yumei Qin,https://www.sciencedirect.com/science/article/pii/S0308814621023943,https://doi.org/10.1016/j.foodchem.2021.131388,0308-8146,2022,131388,Food Chemistry,In situ analysis of copper speciation during in vitro digestion: Differences between copper in drinking water and food,article,WU2022131388,
Runlin Wu and Yang Jiang and Ruike Qin and Haonan Shi and Caihua Jia and Jianhua Rong and Ru Liu,https://www.sciencedirect.com/science/article/pii/S0308814621025681,https://doi.org/10.1016/j.foodchem.2021.131562,0308-8146,2022,131562,Food Chemistry,Study of the formation of food hazard factors in fried fish nuggets,article,WU2022131562,
Katarzyna Nalazek-Rudnicka and Ilona E. Kłosowska-Chomiczewska and Jens Brockmeyer and Andrzej Wasik and Adam Macierzanka,https://www.sciencedirect.com/science/article/pii/S0308814622010287,https://doi.org/10.1016/j.foodchem.2022.133066,0308-8146,2022,133066,Food Chemistry,Relative quantification of pork and beef in meat products using global and species-specific peptide markers for the authentication of meat composition,article,NALAZEKRUDNICKA2022133066,
Franklin {Kégah Ngoualem} and Richard Marcel Nguimbou and Asad {Muhammad Khan} and Robert Ndjouenkeu,https://www.sciencedirect.com/science/article/pii/S0308814620305367,https://doi.org/10.1016/j.foodchem.2020.126674,0308-8146,2020,126674,Food Chemistry,Chemistry and functionalities of lake deposits and plant-based salts used in food preparations: A review,article,KEGAHNGOUALEM2020126674,
Qian Yang and Haoyu Yang and Ning Yuan and Shuna Zuo and Yunzhe Zhang and Wei Zhang,https://www.sciencedirect.com/science/article/pii/S030881462201370X,https://doi.org/10.1016/j.foodchem.2022.133408,0308-8146,2022,133408,Food Chemistry,Closed-tube saltatory rolling circle amplification with hydroxynaphthol blue for visual on-site detection of peanut as an allergenic food,article,YANG2022133408,
Manoj Kumar and Swati Kapoor and Sangram Dhumal and Joanna Tkaczewska and Sushil Changan and Vivek Saurabh and Mohamed Mekhemar and  Radha and Nadeem Rais and Varsha Satankar and R. Pandiselvam and Ali A.S. Sayed and Marisennayya Senapathy and T. Anitha and Surinder Singh and Maharishi Tomar and Abhijit Dey and Gokhan Zengin and Ryszard Amarowicz and Deep {Jyoti Bhuyan},https://www.sciencedirect.com/science/article/pii/S0308814622006562,https://doi.org/10.1016/j.foodchem.2022.132694,0308-8146,2022,132694,Food Chemistry,"Guava (Psidium guajava L.) seed: A low-volume, high-value byproduct for human health and the food industry",article,KUMAR2022132694,
El-Sayed M. Abdel-Aal and Piere Hucl and S. {Shea Miller} and Carol Ann Patterson and Danielle Gray,https://www.sciencedirect.com/science/article/pii/S0308814610010940,https://doi.org/10.1016/j.foodchem.2010.09.021,0308-8146,2011,410-416,Food Chemistry,Microstructure and nutrient composition of hairless canary seed and its potential as a blending flour for food use,article,ABDELAAL2011410,
Anjali Vijeata and Savita Chaudhary and Ganga Ram Chaudhary,https://www.sciencedirect.com/science/article/pii/S0308814621024985,https://doi.org/10.1016/j.foodchem.2021.131492,0308-8146,2022,131492,Food Chemistry,Fluorescent carbon dots from Indian Bael patra as effective sensing tool to detect perilous food colorant,article,VIJEATA2022131492,
Jianqiang Song and Sitong Liu and Ning Zhao and Longshan Zhao,https://www.sciencedirect.com/science/article/pii/S0308814622018970,https://doi.org/10.1016/j.foodchem.2022.133935,0308-8146,2023,133935,Food Chemistry,A new fluorescent probe based on metallic deep eutectic solvent for visual detection of nitrite and pH in food and water environment,article,SONG2023133935,
Shubham Sharma and Sandra Barkauskaite and Amit K. Jaiswal and Swarna Jaiswal,https://www.sciencedirect.com/science/article/pii/S0308814620322652,https://doi.org/10.1016/j.foodchem.2020.128403,0308-8146,2021,128403,Food Chemistry,Essential oils as additives in active food packaging,article,SHARMA2021128403,
María Ruiz-Rico and Simone Renwick and Emma Allen-Vercoe and José M. Barat,https://www.sciencedirect.com/science/article/pii/S0308814622000978,https://doi.org/10.1016/j.foodchem.2022.132136,0308-8146,2022,132136,Food Chemistry,In vitro susceptibility of human gut microbes to potential food preservatives based on immobilized phenolic compounds,article,RUIZRICO2022132136,
Mehrnoosh Babaahmadifooladia and Ediu Carlos {da Silva Junior} and Tom {Van de Wiele} and Gijs {Du Laing} and Liesbeth Jacxsens,https://www.sciencedirect.com/science/article/pii/S0308814622015503,https://doi.org/10.1016/j.foodchem.2022.133588,0308-8146,2022,133588,Food Chemistry,Probabilistic chronic dietary exposure assessment adjusted for bioaccessible fraction to metals by consumption of seaweed and derived foods,article,BABAAHMADIFOOLADIA2022133588,
Joanna Nadia and Alexander G. Olenskyj and Parthasarathi Subramanian and Suzanne Hodgkinson and Natascha Stroebinger and Talia G. Estevez and R. Paul Singh and Harjinder Singh and Gail M. Bornhorst,https://www.sciencedirect.com/science/article/pii/S0308814622013723,https://doi.org/10.1016/j.foodchem.2022.133410,0308-8146,2022,133410,Food Chemistry,Influence of food macrostructure on the kinetics of acidification in the pig stomach after the consumption of rice- and wheat-based foods: Implications for starch hydrolysis and starch emptying rate,article,NADIA2022133410,
Sonia Arora and Sudesh Jood and N. Khetarpaul,https://www.sciencedirect.com/science/article/pii/S030881460900925X,https://doi.org/10.1016/j.foodchem.2009.07.035,0308-8146,2010,779-784,Food Chemistry,Effect of germination and probiotic fermentation on nutrient composition of barley based food mixtures,article,ARORA2010779,
Yi-Hsuan Huang and Tsai-Hua Kao and Bing-Huei Chen,https://www.sciencedirect.com/science/article/pii/S0308814622015345,https://doi.org/10.1016/j.foodchem.2022.133572,0308-8146,2022,133572,Food Chemistry,Development of a GC–MS/MS method coupled with HS-SPME-Arrow for studying formation of furan and 10 derivatives in model systems and commercial foods,article,HUANG2022133572,
Mateus Henrique Petrarca and Patrícia Aparecida de Campos Braga and Felix Guillermo Reyes Reyes and Adriana Pavesi Arisseto Bragotto,https://www.sciencedirect.com/science/article/pii/S0308814621015934,https://doi.org/10.1016/j.foodchem.2021.130587,0308-8146,2022,130587,Food Chemistry,Exploring miniaturized sample preparation approaches combined with LC-QToF-MS for the analysis of sulfonamide antibiotic residues in meat- and/or egg-based baby foods,article,PETRARCA2022130587,
Hadis Vakili and Zahra Talebpour and Farideh Haghighi,https://www.sciencedirect.com/science/article/pii/S0308814622011669,https://doi.org/10.1016/j.foodchem.2022.133204,0308-8146,2022,133204,Food Chemistry,"Development, validation, and uncertainty measurement of HPLC-DAD method for determination of some free amino acids in infant formula and medical food products for inborn errors of metabolism",article,VAKILI2022133204,
Nicolas Mialon and Benoit Roig and Eric Capodanno and Axelle Cadiere,https://www.sciencedirect.com/science/article/pii/S0308814622018180,https://doi.org/10.1016/j.foodchem.2022.133856,0308-8146,2023,133856,Food Chemistry,Untargeted metabolomic approaches in food authenticity: A review that showcases biomarkers,article,MIALON2023133856,
Antonella Cavazza and Monica Mattarozzi and Arianna Franzoni and Maria Careri,https://www.sciencedirect.com/science/article/pii/S030881462200913X,https://doi.org/10.1016/j.foodchem.2022.132951,0308-8146,2022,132951,Food Chemistry,A spotlight on analytical prospects in food allergens: From emerging allergens and novel foods to bioplastics and plant-based sustainable food contact materials,article,CAVAZZA2022132951,
Aline {Gabrielle Alves de Carvalho} and Lucía Olmo-García and Bruna {Rachel Antunes Gaspar} and Alegría Carrasco-Pancorbo and Vanessa {Naciuk Castelo-Branco} and Alexandre {Guedes Torres},https://www.sciencedirect.com/science/article/pii/S0308814622001662,https://doi.org/10.1016/j.foodchem.2022.132205,0308-8146,2022,132205,Food Chemistry,Evolution of the metabolic profile of virgin olive oil during deep-frying: Assessing the transfer of bioactive compounds to the fried food,article,GABRIELLEALVESDECARVALHO2022132205,
Swati Mitharwal and Ankur Kumar and Komal Chauhan and Neetu Kumra Taneja,https://www.sciencedirect.com/science/article/pii/S0308814622003685,https://doi.org/10.1016/j.foodchem.2022.132406,0308-8146,2022,132406,Food Chemistry,"Nutritional, phytochemical composition and potential health benefits of taro (Colocasia esculenta L.) leaves: A review",article,MITHARWAL2022132406,
Julia M. Gauglitz and Christine M. Aceves and Alexander A. Aksenov and Gajender Aleti and Jehad Almaliti and Amina Bouslimani and Elizabeth A. Brown and Anaamika Campeau and Andrés Mauricio Caraballo-Rodríguez and Rama Chaar and Ricardo R. {da Silva} and Alyssa M. Demko and Francesca {Di Ottavio} and Emmanuel Elijah and Madeleine Ernst and L. Paige Ferguson and Xavier Holmes and Alan K. Jarmusch and Lingjing Jiang and Kyo Bin Kang and Irina Koester and Brian Kwan and Jie Li and Yueying Li and Alexey V. Melnik and Carlos Molina-Santiago and Bohan Ni and Aaron L. Oom and Morgan W. Panitchpakdi and Daniel Petras and Robert Quinn and Nicole Sikora and Katharina Spengler and Bahar Teke and Anupriya Tripathi and Sabah Ul-Hasan and Justin J.J. {van der Hooft} and Fernando Vargas and Alison Vrbanac and Anthony Q. Vu and Steven C. Wang and Kelly Weldon and Kayla Wilson and Jacob M. Wozniak and Michael Yoon and Nuno Bandeira and Pieter C. Dorrestein,https://www.sciencedirect.com/science/article/pii/S0308814619314001,https://doi.org/10.1016/j.foodchem.2019.125290,0308-8146,2020,125290,Food Chemistry,Untargeted mass spectrometry-based metabolomics approach unveils molecular changes in raw and processed foods and beverages,article,GAUGLITZ2020125290,
I. Castanheira and C. Abrantes and M. Batista and I. Coelho and A. Sanches-Silva,https://www.sciencedirect.com/science/article/pii/S0308814608001209,https://doi.org/10.1016/j.foodchem.2008.01.053,0308-8146,2009,768-775,Food Chemistry,Quality control materials in food composition databanks,article,CASTANHEIRA2009768,
Minah Mmoni Mosele and Åse Solvej Hansen and Michael Hansen and Alexander Schulz and Helle Juel Martens,https://www.sciencedirect.com/science/article/pii/S0308814611002743,https://doi.org/10.1016/j.foodchem.2011.02.017,0308-8146,2011,1555-1561,Food Chemistry,"Proximate composition, histochemical analysis and microstructural localisation of nutrients in immature and mature seeds of marama bean (Tylosema esculentum) – An underutilised food legume",article,MOSELE20111555,
Yong-xin Li and Famous Erhunmwunsee and Man Liu and Kunlong Yang and Weifa Zheng and Jun Tian,https://www.sciencedirect.com/science/article/pii/S0308814622002746,https://doi.org/10.1016/j.foodchem.2022.132312,0308-8146,2022,132312,Food Chemistry,Antimicrobial mechanisms of spice essential oils and application in food industry,article,LI2022132312,
Mamatha {Chandra Singh} and William E. Price and Celine Kelso and Karen Charlton and Yasmine Probst,https://www.sciencedirect.com/science/article/pii/S0308814622008172,https://doi.org/10.1016/j.foodchem.2022.132855,0308-8146,2022,132855,Food Chemistry,Impact of molar absorbance on anthocyanin content of the foods,article,CHANDRASINGH2022132855,
Yesim Özogul and Nariman {El Abed} and Fatih Özogul,https://www.sciencedirect.com/science/article/pii/S0308814621018379,https://doi.org/10.1016/j.foodchem.2021.130831,0308-8146,2022,130831,Food Chemistry,Antimicrobial effect of laurel essential oil nanoemulsion on food-borne pathogens and fish spoilage bacteria,article,OZOGUL2022130831,
Hongxia Wang and Yang Cheng and Juncheng Zhu and Zhiying Ouyang and Mi Tang and Liang Ma and Yuhao Zhang,https://www.sciencedirect.com/science/article/pii/S0308814622020817,https://doi.org/10.1016/j.foodchem.2022.134119,0308-8146,2022,134119,Food Chemistry,High temperature induced stable gelatin-gardenia blue system with hyperchromic effect and its food application in 2D writing/printing and 3D printing,article,WANG2022134119,
Roberto Castro-Muñoz and Mariela Correa-Delgado and Rafael Córdova-Almeida and David Lara-Nava and Mariana Chávez-Muñoz and Valeria Fernanda Velásquez-Chávez and Carlos Eduardo Hernández-Torres and Emilia Gontarek-Castro and Mohd Zamidi Ahmad,https://www.sciencedirect.com/science/article/pii/S030881462101997X,https://doi.org/10.1016/j.foodchem.2021.130991,0308-8146,2022,130991,Food Chemistry,"Natural sweeteners: Sources, extraction and current uses in foods and food industries",article,CASTROMUNOZ2022130991,
H.N. {Nadeesha Dilrukshi} and Damir D. Torrico and Margaret A. Brennan and Charles S. Brennan,https://www.sciencedirect.com/science/article/pii/S030881462201069X,https://doi.org/10.1016/j.foodchem.2022.133107,0308-8146,2022,133107,Food Chemistry,"Effects of extrusion processing on the bioactive constituents, in vitro digestibility, amino acid composition, and antioxidant potential of novel gluten-free extruded snacks fortified with cowpea and whey protein concentrate",article,NADEESHADILRUKSHI2022133107,
Yassine Makni and Thierno Diallo and Thierry Guérin and Julien Parinet,https://www.sciencedirect.com/science/article/pii/S0308814622015357,https://doi.org/10.1016/j.foodchem.2022.133573,0308-8146,2022,133573,Food Chemistry,Improving the monitoring of multi-class pesticides in baby foods using QuEChERS-UHPLC-Q-TOF with automated identification based on MS/MS similarity algorithms,article,MAKNI2022133573,
María B. Perez and María J. {Da Peña Hamparsomian} and Roxana E. Gonzalez and Gabriela I. Denoya and Deolindo L.E. Dominguez and Karina Barboza and Massimo Iorizzo and Philipp W. Simon and Sergio R. Vaudagna and Pablo F. Cavagnaro,https://www.sciencedirect.com/science/article/pii/S030881462200855X,https://doi.org/10.1016/j.foodchem.2022.132893,0308-8146,2022,132893,Food Chemistry,"Physicochemical properties, degradation kinetics, and antioxidant capacity of aqueous anthocyanin-based extracts from purple carrots compared to synthetic and natural food colorants",article,PEREZ2022132893,
Lujuan Xing and Wangang Zhang and Lijuan Fu and José Manuel Lorenzo and Yuejing Hao,https://www.sciencedirect.com/science/article/pii/S0308814622005179,https://doi.org/10.1016/j.foodchem.2022.132555,0308-8146,2022,132555,Food Chemistry,Fabrication and application of electrochemical sensor for analyzing hydrogen peroxide in food system and biological samples,article,XING2022132555,
Ahmed Zayed and Marwa T. Badawy and Mohamed A. Farag,https://www.sciencedirect.com/science/article/pii/S0308814621006154,https://doi.org/10.1016/j.foodchem.2021.129609,0308-8146,2021,129609,Food Chemistry,Valorization and extraction optimization of Citrus seeds for food and functional food applications,article,ZAYED2021129609,
Joanna Tkaczewska and Ewelina Jamróz and Marzena Zając and Paulina Guzik and Hana {Derbew Gedif} and Katarzyna Turek and Michał Kopeć,https://www.sciencedirect.com/science/article/pii/S0308814622019719,https://doi.org/10.1016/j.foodchem.2022.134009,0308-8146,2023,134009,Food Chemistry,Antioxidant edible double-layered film based on waste from soybean production as a vegan active packaging for perishable food products,article,TKACZEWSKA2023134009,
Júlia C. Kessler and Vanessa Vieira and Isabel M. Martins and Yaidelin A. Manrique and Patrícia Ferreira and Ricardo C. Calhelha and Andreia Afonso and Lillian Barros and Alírio E. Rodrigues and Madalena M. Dias,https://www.sciencedirect.com/science/article/pii/S0308814622004769,https://doi.org/10.1016/j.foodchem.2022.132514,0308-8146,2022,132514,Food Chemistry,Chemical and organoleptic properties of bread enriched with Rosmarinus officinalis L.: The potential of natural extracts obtained through green extraction methodologies as food ingredients,article,KESSLER2022132514,
Milagro Reig and M-Concepción Aristoy and Fidel Toldrá,https://www.sciencedirect.com/science/article/pii/S0308814612018171,https://doi.org/10.1016/j.foodchem.2012.11.085,0308-8146,2013,478-482,Food Chemistry,Variability in the contents of pork meat nutrients and how it may affect food composition databases,article,REIG2013478,
Daniel Granato and Dhanik Reshamwala and Risto Korpinen and Luciana Azevedo and Mariana Araújo {Vieira do Carmo} and Thiago Mendanha Cruz and Mariza Boscacci Marques and Mingchun Wen and Liang Zhang and Varpu Marjomäki and Petri Kilpeläinen,https://www.sciencedirect.com/science/article/pii/S030881462200245X,https://doi.org/10.1016/j.foodchem.2022.132284,0308-8146,2022,132284,Food Chemistry,"From the forest to the plate – Hemicelluloses, galactoglucomannan, glucuronoxylan, and phenolic-rich extracts from unconventional sources as functional food ingredients",article,GRANATO2022132284,
Yohan Reynaud and Caroline Buffière and Benoît Cohade and Mélissa Vauris and Kevin Liebermann and Noureddine Hafnaoui and Michel Lopez and Isabelle Souchon and Didier Dupont and Didier Rémond,https://www.sciencedirect.com/science/article/pii/S0308814620318823,https://doi.org/10.1016/j.foodchem.2020.128020,0308-8146,2021,128020,Food Chemistry,True ileal amino acid digestibility and digestible indispensable amino acid scores (DIAASs) of plant-based protein foods,article,REYNAUD2021128020,
Jiajia Rao and David Julian McClements,https://www.sciencedirect.com/science/article/pii/S0308814612003895,https://doi.org/10.1016/j.foodchem.2012.02.174,0308-8146,2012,749-757,Food Chemistry,Impact of lemon oil composition on formation and stability of model food and beverage emulsions,article,RAO2012749,
Hui Wang and Lili Hu and Xiaotu Chang and Yuge Hu and Yan Zhang and Peng Zhou and Xiaojiao Cui,https://www.sciencedirect.com/science/article/pii/S0308814622019720,https://doi.org/10.1016/j.foodchem.2022.134010,0308-8146,2023,134010,Food Chemistry,Determination of bacterial toxin toxoflavin and fervenulin in food and identification of their degradation products,article,WANG2023134010,
Christin Hackethal and Johannes F. Kopp and Irmela Sarvan and Tanja Schwerdtle and Oliver Lindtner,https://www.sciencedirect.com/science/article/pii/S0308814620327886,https://doi.org/10.1016/j.foodchem.2020.128913,0308-8146,2021,128913,Food Chemistry,Total arsenic and water-soluble arsenic species in foods of the first German total diet study (BfR MEAL Study),article,HACKETHAL2021128913,
Ricarda Torre and Maria Freitas and Estefanía Costa‐Rama and Henri P.A. Nouws and Cristina Delerue‐Matos,https://www.sciencedirect.com/science/article/pii/S0308814622016211,https://doi.org/10.1016/j.foodchem.2022.133659,0308-8146,2022,133659,Food Chemistry,Food allergen control: Tropomyosin analysis through electrochemical immunosensing,article,TORRE2022133659,
Julia Kokesch-Himmelreich and Oliver Wittek and Alan M. Race and Sophie Rakete and Claus Schlicht and Ulrich Busch and Andreas Römpp,https://www.sciencedirect.com/science/article/pii/S0308814622004915,https://doi.org/10.1016/j.foodchem.2022.132529,0308-8146,2022,132529,Food Chemistry,"MALDI mass spectrometry imaging: From constituents in fresh food to ingredients, contaminants and additives in processed food",article,KOKESCHHIMMELREICH2022132529,
Ginevra Bucalossi and Giovanna Fia and Caterina Dinnella and Alessandra {De Toffoli} and Valentina Canuti and Bruno Zanoni and Maurizio Servili and Ella Pagliarini and Tullia {Gallina Toschi} and Erminio Monteleone,https://www.sciencedirect.com/science/article/pii/S0308814620301394,https://doi.org/10.1016/j.foodchem.2020.126291,0308-8146,2020,126291,Food Chemistry,Functional and sensory properties of phenolic compounds from unripe grapes in vegetable food prototypes,article,BUCALOSSI2020126291,
Ping Chen and Limei Yin and Hesham R. El-Seedi and Xiaobo Zou and Zhiming Guo,https://www.sciencedirect.com/science/article/pii/S0308814622014431,https://doi.org/10.1016/j.foodchem.2022.133481,0308-8146,2022,133481,Food Chemistry,Green reduction of silver nanoparticles for cadmium detection in food using surface-enhanced Raman spectroscopy coupled multivariate calibration,article,CHEN2022133481,
Nail Altunay and Mustafa Tuzen,https://www.sciencedirect.com/science/article/pii/S0308814621013777,https://doi.org/10.1016/j.foodchem.2021.130371,0308-8146,2021,130371,Food Chemistry,A simple and green ultrasound liquid–liquid microextraction method based on low viscous hydrophobic deep eutectic solvent for the preconcentration and separation of selenium in water and food samples prior to HG-AAS detection,article,ALTUNAY2021130371,
Anna Twarogowska and Christof {Van Poucke} and Bart {Van Droogenbroeck},https://www.sciencedirect.com/science/article/pii/S0308814620313066,https://doi.org/10.1016/j.foodchem.2020.127444,0308-8146,2020,127444,Food Chemistry,Upcycling of Belgian endive (Cichorium intybus var. foliosum) by-products. Chemical composition and functional properties of dietary fibre root powders,article,TWAROGOWSKA2020127444,
Anne-Marie Seuvre and Ellen Philippe and Sophie Rochard and Andrée Voilley,https://www.sciencedirect.com/science/article/pii/S0308814605001639,https://doi.org/10.1016/j.foodchem.2005.02.014,0308-8146,2006,104-114,Food Chemistry,Retention of aroma compounds in food matrices of similar rheological behaviour and different compositions,article,SEUVRE2006104,
Yu Matsuo and Kanako Akita and Honoka Taguchi and Shuji Fujii and Yumiko Yoshie-Stark and Tetsuya Araki,https://www.sciencedirect.com/science/article/pii/S0308814621024705,https://doi.org/10.1016/j.foodchem.2021.131464,0308-8146,2022,131464,Food Chemistry,Utilization and evaluation of Citrus natsudaidai peel waste as a source of natural food additives,article,MATSUO2022131464,
Qing-Yun Guan and Xin-Huai Zhao,https://www.sciencedirect.com/science/article/pii/S0308814622017034,https://doi.org/10.1016/j.foodchem.2022.133741,0308-8146,2022,133741,Food Chemistry,Monosaccharide composition and in vivo immuno-stimulatory potential of soluble yam (Dioscorea opposita Thunb.) polysaccharides in response to a covalent Se incorporation,article,GUAN2022133741,
Magdalena Kurzyna-Szklarek and Justyna Cybulska and Artur Zdunek,https://www.sciencedirect.com/science/article/pii/S0308814622014285,https://doi.org/10.1016/j.foodchem.2022.133466,0308-8146,2022,133466,Food Chemistry,Analysis of the chemical composition of natural carbohydrates – An overview of methods,article,KURZYNASZKLAREK2022133466,
Manu P. Gangola and Bharathi Raja Ramadoss and Sarita Jaiswal and Catharine Chan and Rebecca Mollard and Hrvoje Fabek and Mehmet Tulbek and Peter Jones and Diana Sanchez-Hernandez and G. Harvey Anderson and Ravindra N. Chibbar,https://www.sciencedirect.com/science/article/pii/S0308814621001710,https://doi.org/10.1016/j.foodchem.2021.129167,0308-8146,2021,129167,Food Chemistry,"Faba bean meal, starch or protein fortification of durum wheat pasta differentially influence noodle composition, starch structure and in vitro digestibility",article,GANGOLA2021129167,
Jounghyun Um and Jean Manguy and João Anes and Jean-Christophe Jacquier and Daniel Hurley and Eugene T. Dillon and Kieran Wynne and Séamus Fanning and Michael O'Sullivan and Denis C. Shields,https://www.sciencedirect.com/science/article/pii/S0308814621002247,https://doi.org/10.1016/j.foodchem.2021.129220,0308-8146,2021,129220,Food Chemistry,Enriching antimicrobial peptides from milk hydrolysates using pectin/alginate food-gels,article,UM2021129220,
Kaewta Danchana and Prapatsorn Jitthiang and Kanchana Uraisin and Víctor Cerdà,https://www.sciencedirect.com/science/article/pii/S030881462101092X,https://doi.org/10.1016/j.foodchem.2021.130086,0308-8146,2021,130086,Food Chemistry,WinMLR program for the determination of sorbic and benzoic acids in food samples,article,DANCHANA2021130086,
Jonatan Jafet Uuh-Narváez and María Alejandra González-Tamayo and Maira Rubí Segura-Campos,https://www.sciencedirect.com/science/article/pii/S0308814620321099,https://doi.org/10.1016/j.foodchem.2020.128247,0308-8146,2021,128247,Food Chemistry,A study on nutritional and functional study properties of Mayan plant foods as a new proposal for type 2 diabetes prevention,article,UUHNARVAEZ2021128247,
Mehrnoosh Babaahmadifooladi and Liesbeth Jacxsens and Tom {Van de Wiele} and Ediu {Carlos da Silva Júnior} and Gijs {Du Laing},https://www.sciencedirect.com/science/article/pii/S0308814620320720,https://doi.org/10.1016/j.foodchem.2020.128210,0308-8146,2021,128210,Food Chemistry,Assessment of bioaccessible and dialyzable fractions of nickel in food products and their impact on the chronic exposure of Belgian population to nickel,article,BABAAHMADIFOOLADI2021128210,
Mahboube Shirani and Ehsan Parandi and Hamid Rashidi Nodeh and Behrouz Akbari-adergani and Fatemeh Shahdadi,https://www.sciencedirect.com/science/article/pii/S0308814621024274,https://doi.org/10.1016/j.foodchem.2021.131421,0308-8146,2022,131421,Food Chemistry,Development of a rapid efficient solid-phase microextraction: An overhead rotating flat surface sorbent based 3-D graphene oxide/ lanthanum nanoparticles @ Ni foam for separation and determination of sulfonamides in animal-based food products,article,SHIRANI2022131421,
Dilini Bopitiya and Milton T.W. Hearn and Jie Zhang and Louise E. Bennett,https://www.sciencedirect.com/science/article/pii/S0308814622015813,https://doi.org/10.1016/j.foodchem.2022.133619,0308-8146,2022,133619,Food Chemistry,"Production of hydrogen peroxide in commercial orange juice products is related to proximate composition, processing conditions and storage time",article,BOPITIYA2022133619,
Yiran Zhou and Ziyu Zhou and Yujing Lian and Xin Sun and Yongning Wu and Luqin Qiao and Minglin Wang,https://www.sciencedirect.com/science/article/pii/S0308814621001394,https://doi.org/10.1016/j.foodchem.2021.129137,0308-8146,2021,129137,Food Chemistry,"Source, transportation, bioaccumulation, distribution and food risk assessment of perfluorinated alkyl substances in vegetables: A review",article,ZHOU2021129137,
Julien Lonchamp and Kelly Stewart and Claire D. Munialo and Laurence Evans and Muyiwa Akintoye and Susan Gordon and Paul S. Clegg and Nik Willoughby and Stephen R. Euston,https://www.sciencedirect.com/science/article/pii/S0308814622016983,https://doi.org/10.1016/j.foodchem.2022.133736,0308-8146,2022,133736,Food Chemistry,"Mycoprotein as novel functional ingredient: Mapping of functionality, composition and structure throughout the Quorn fermentation process",article,LONCHAMP2022133736,
