orkg:P27060,paper:authors,paper:url,paper:doi,orkg:P74029,paper:publication_year,paper:published_in,paper:title,paper:research_field,contribution:research_problem
,Rhonda S. Sebastian and Cecilia {Wilkinson Enns} and Joseph D. Goldman and Lois C. Steinfeldt and Carrie L. Martin and John C. Clemens and Theophile Murayi and Alanna J. Moshfegh,https://www.sciencedirect.com/science/article/pii/S0889157517301709,10.1016/j.jfca.2017.07.016,0889-1575,2017,Journal of Food Composition and Analysis,"New, publicly available flavonoid data products: Valuable resources for emerging science",R91,Food components identification
,M. Mapekula and M. Chimonyo and C. Mapiye and K. Dzama,https://www.sciencedirect.com/science/article/pii/S0889157511000603,10.1016/j.jfca.2011.01.014,0889-1575,2011,Journal of Food Composition and Analysis,"Fatty acid, amino acid and mineral composition of milk from Nguni and local crossbred cows in South Africa",R91,Food components identification
,Jennifer F. Lai and Joannie Dobbs and Michael A. Dunn,https://www.sciencedirect.com/science/article/pii/S0889157511001657,10.1016/j.jfca.2011.07.004,0889-1575,2012,Journal of Food Composition and Analysis,"Evaluation of clams as a food source of iron: Total iron, heme iron, aluminum, and in vitro iron bioavailability in live and processed clams",R91,Food components identification
,Pedram Shoa and Seyed Ahmad Mireei and Abbas Hemmat and Sara W. Erasmus and Saskia M. {van Ruth},https://www.sciencedirect.com/science/article/pii/S0889157522003404,10.1016/j.jfca.2022.104722,0889-1575,2022,Journal of Food Composition and Analysis,Broadband acoustic resonance dissolution spectroscopy of natural edible salts: Visualization and interpretation for descriptive and diagnostic analysis,R91,Food components identification
,Julie Ann Mher A. Libron and Don Emanuel M. Cardona and John Marty C. Mateo and Ayn Kristina M. Beltran and Arvin Paul P. Tuaño and Tonette P. Laude,https://www.sciencedirect.com/science/article/pii/S088915752100154X,10.1016/j.jfca.2021.103954,0889-1575,2021,Journal of Food Composition and Analysis,Nutritional properties and phenolic acid profile of selected Philippine pigmented maize with high antioxidant activity,R91,Food components identification
,Natália K.V. {dos Santos} and Leandro {dos Santos} and Isabel C.F. Damin and Maria G.R. Vale and Morgana B. Dessuy,https://www.sciencedirect.com/science/article/pii/S0889157522002435,10.1016/j.jfca.2022.104625,0889-1575,2022,Journal of Food Composition and Analysis,Multielement determination of metals in edible seeds by HR-CS GF AAS and direct analysis,R91,Food components identification
,Maria Fernanda S. Mota and Meire Jéssica A. Ferreira and Fábio Junior M. Novaes and Philip J. Marriott and Claudia M. Rezende and Suely P. Freitas,https://www.sciencedirect.com/science/article/pii/S0889157522004136,10.1016/j.jfca.2022.104795,0889-1575,2022,Journal of Food Composition and Analysis,Natural crystallisation of tucuma (Astrocaryum vulgare Mart.) pulp olein,R91,Food components identification
,Luís Gaspar and Fernando Ricardo and Tânia Melo and Pedro Domingues and M. Rosário Domingues and Ricardo Calado and Felisa Rey,https://www.sciencedirect.com/science/article/pii/S0889157522004896,10.1016/j.jfca.2022.104871,0889-1575,2022,Journal of Food Composition and Analysis,Lipidomics of common octopus' (Octopus vulgaris) tentacle muscle using untargeted high-resolution liquid chromatography-mass spectrometry,R91,Food components identification
,José Luan da Paixão Teixeira and Juliana Azevedo Lima Pallone and Cristina Delgado Andrade and Marta Mesías and Isabel Seiquer,https://www.sciencedirect.com/science/article/pii/S0889157521005652,10.1016/j.jfca.2021.104365,0889-1575,2022,Journal of Food Composition and Analysis,"Bioavailability evaluation of calcium, magnesium and zinc in Brazilian cheese through a combined model of in vitro digestion and Caco-2 cells",R91,Food components identification
,Ting Fang and Yangyang Liang and Kun Yang and Xiuxia Zhao and Na Gao and Jing Li and Wenxuan Lu and Kai Cui and Hui Li,https://www.sciencedirect.com/science/article/pii/S0889157522004537,10.1016/j.jfca.2022.104835,0889-1575,2022,Journal of Food Composition and Analysis,"Benefit-risk assessment of consuming fish and shrimp from a large eutrophic freshwater lake, China",R91,Food components identification
,Anna Sadowska-Rociek and Magdalena Surma,https://www.sciencedirect.com/science/article/pii/S0889157521000880,10.1016/j.jfca.2021.103888,0889-1575,2021,Journal of Food Composition and Analysis,A survey on thermal processing contaminants occurrence in dark craft beers,R91,Food components identification
,Martial Ledoux and Jean-Michel Chardigny and Mariannick Darbois and Yvette Soustre and Jean-Louis Sébédio and Laurent Laloux,https://www.sciencedirect.com/science/article/pii/S0889157504000079,10.1016/j.jfca.2004.01.001,0889-1575,2005,Journal of Food Composition and Analysis,"Fatty acid composition of French butters, with special emphasis on conjugated linoleic acid (CLA) isomers",R91,Food components identification
,Mohamed Ghrab and Mohamed Ayadi and Kamel Gargouri and Kostas Chartzoulakis and Mariem Gharsallaoui and Hatem Bentaher and Georgios Psarras and Mehdi {Ben Mimoun} and Mohamed Moncef Masmoudi and Netij {Ben Mechlia},https://www.sciencedirect.com/science/article/pii/S0889157514001367,10.1016/j.jfca.2014.05.005,0889-1575,2014,Journal of Food Composition and Analysis,"Long-term effects of partial root-zone drying (PRD) on yield, oil composition and quality of olive tree (cv. Chemlali) irrigated with saline water in arid land",R91,Food components identification
,Hao Dong and Kaijun Xiao and Maristela Calvente Morais and Luiz Antonio Martinelli,https://www.sciencedirect.com/science/article/pii/S0889157518301959,10.1016/j.jfca.2018.12.003,0889-1575,2019,Journal of Food Composition and Analysis,Discussion about stable carbon isotopic composition indicates large presence of maize in Brazilian soy sauces (shoyu)Response to “Discussion about stable carbon isotopic composition indicates large presence of maize in Brazilian soy sauces (shoyu)”,R91,Food components identification
,M.T. Labuschagne and N. Mkhatywa and B. Wentzel and E. Johansson and A. {van Biljon},https://www.sciencedirect.com/science/article/pii/S0889157514000040,10.1016/j.jfca.2013.12.003,0889-1575,2014,Journal of Food Composition and Analysis,"Tocochromanol concentration, protein composition and baking quality of white flour of South African wheat cultivars",R91,Food components identification
,Haiyan Fu and Liuna Wei and Hengye Chen and Xiaolong Yang and Liping Kang and Qingxiu Hao and Li Zhou and Zhilai Zhan and Zhi Liu and Jian Yang and Lanping Guo,https://www.sciencedirect.com/science/article/pii/S0889157521001721,10.1016/j.jfca.2021.103972,0889-1575,2021,Journal of Food Composition and Analysis,"Combining stable C, N, O, H, Sr isotope and multi-element with chemometrics for identifying the geographical origins and farming patterns of Huangjing herb",R91,Food components identification
,Gulab Chand and Vignesh Muthusamy and Tanu Allen and Rajkumar U. Zunjare and Subhra J. Mishra and Bhavna Singh and Brijesh K. Mehta and Zahirul A. Talukder and Mohammad Reda Ismail and Konsam Sarika and Mehar C. Kamboj and Sohini Singh and Firoz Hossain,https://www.sciencedirect.com/science/article/pii/S0889157521005767,10.1016/j.jfca.2021.104376,0889-1575,2022,Journal of Food Composition and Analysis,Composition of lysine and tryptophan among biofortified-maize possessing novel combination of opaque2 and opaque16 genes,R91,Food components identification
,Andressa Kuhnen Silva and Gerlon de Almeida Ribeiro Oliveira and Alex Castro and Cristiano Sales Prado and Luciano Morais Lião,https://www.sciencedirect.com/science/article/pii/S0889157522004781,10.1016/j.jfca.2022.104860,0889-1575,2023,Journal of Food Composition and Analysis,The most consumed beef cuts in Brazil: Prices versus metabolic profile,R91,Food components identification
,F. Tateo and M. Bononi and G. Andreoli,https://www.sciencedirect.com/science/article/pii/S088915750600113X,10.1016/j.jfca.2006.06.006,0889-1575,2007,Journal of Food Composition and Analysis,"Acrylamide levels in cooked rice, tomato sauces and some fast food on the Italian market",R91,Food components identification
,Luc Lagacé and Simon Leclerc and Carmen Charron and Mustapha Sadiki,https://www.sciencedirect.com/science/article/pii/S0889157515000770,10.1016/j.jfca.2014.12.030,0889-1575,2015,Journal of Food Composition and Analysis,Biochemical composition of maple sap and relationships among constituents,R91,Food components identification
,Nabil Semmar and Jacques Artaud,https://www.sciencedirect.com/science/article/pii/S0889157515001465,10.1016/j.jfca.2015.05.009,0889-1575,2015,Journal of Food Composition and Analysis,A new simplex-based approach predicting olive oil blend compositions from fatty acid data,R91,Food components identification
,Hülya Ölmez and Fatih Tuncay and Nihat Özcan and Songün Demirel,https://www.sciencedirect.com/science/article/pii/S0889157508000719,10.1016/j.jfca.2008.04.011,0889-1575,2008,Journal of Food Composition and Analysis,A survey of acrylamide levels in foods from the Turkish market,R91,Food components identification
,Paulina E. Romotowska and Magnea G. Karlsdóttir and María Gudjónsdóttir and Hordur G. Kristinsson and Sigurjón Arason,https://www.sciencedirect.com/science/article/pii/S0889157516300242,10.1016/j.jfca.2016.03.005,0889-1575,2016,Journal of Food Composition and Analysis,Seasonal and geographical variation in chemical composition and lipid stability of Atlantic mackerel (Scomber scombrus) caught in Icelandic waters,R91,Food components identification
,T. Whitesell and J.L. Aalhus and I.L. Larsen and M. Juárez,https://www.sciencedirect.com/science/article/pii/S0889157513001890,10.1016/j.jfca.2013.11.008,0889-1575,2014,Journal of Food Composition and Analysis,Evaluation of a rapid protein analyzer as a research tool for lean beef composition: Effects of storage time and freezing,R91,Food components identification
,Mohammad Behbahani and Mani Salarian and Akbar Bagheri and Hadi Tabani and Fariborz Omidi and Alireza Fakhari,https://www.sciencedirect.com/science/article/pii/S0889157513001373,10.1016/j.jfca.2013.10.003,0889-1575,2014,Journal of Food Composition and Analysis,"Synthesis, characterization and analytical application of Zn(II)-imprinted polymer as an efficient solid-phase extraction technique for trace determination of zinc ions in food samples",R91,Food components identification
,Lukas Macheiner and Anatol Schmidt and Matthias Schreiner and Helmut K. Mayer,https://www.sciencedirect.com/science/article/pii/S088915751930585X,10.1016/j.jfca.2019.103307,0889-1575,2019,Journal of Food Composition and Analysis,Green coffee infusion as a source of caffeine and chlorogenic acid,R91,Food components identification
,Emmy Hainida Khairul Ikram and Roger Stanley and Michael Netzel and Kent Fanning,https://www.sciencedirect.com/science/article/pii/S088915751500085X,10.1016/j.jfca.2015.02.010,0889-1575,2015,Journal of Food Composition and Analysis,Phytochemicals of papaya and its traditional health and culinary uses – A review,R91,Food components identification
,Veronica Lolli and Margherita Dall’Asta and Augusta Caligiani and Daniele {Del Rio} and Miguel Angel {de la Fuente} and Pilar Gómez-Cortés,https://www.sciencedirect.com/science/article/pii/S0889157521005792,10.1016/j.jfca.2021.104379,0889-1575,2022,Journal of Food Composition and Analysis,Detection of cyclopropane fatty acids in human breastmilk by GC-MS,R91,Food components identification
,Gugu Shila Mabizela and Brigitte von Pressentin {du Preez} and Chantelle Human and Magdalena Muller and Dalene {de Beer} and Marieta {van der Rijst} and Martha Margaretha Slabbert and Cecilia Bester and Elizabeth Joubert,https://www.sciencedirect.com/science/article/pii/S0889157522002010,10.1016/j.jfca.2022.104583,0889-1575,2022,Journal of Food Composition and Analysis,A balancing act – Optimising harvest season of Cyclopia genistoides (honeybush tea) for enhanced phenolic content and acceptable sensory profile,R91,Food components identification
,L. Thompson and J. Morris and E. Peffley and C. Green and P. Paré and D. Tissue and R. Jasoni and J. Hutson and B. Wehner and C. Kane,https://www.sciencedirect.com/science/article/pii/S0889157504001188,10.1016/j.jfca.2004.06.009,0889-1575,2005,Journal of Food Composition and Analysis,Flavonol content and composition of spring onions grown hydroponically or in potting soil,R91,Food components identification
,F Tateo and M Bononi,https://www.sciencedirect.com/science/article/pii/S088915750300067X,10.1016/S0889-1575(03)00067-X,0889-1575,2003,Journal of Food Composition and Analysis,Determination of gamma-butyrolactone (GBL) in foods by SBSE-TD/GC/MS,R91,Food components identification
,Minaleshewa Atlabachew and Bhagwan Singh Chandravanshi,https://www.sciencedirect.com/science/article/pii/S0889157508000744,10.1016/j.jfca.2008.05.001,0889-1575,2008,Journal of Food Composition and Analysis,"Levels of major, minor and trace elements in commercially available enset (Ensete ventricosum (Welw.), Cheesman) food products (Kocho and Bulla) in Ethiopia",R91,Food components identification
,G. Konuspayeva and B. Faye and G. Loiseau,https://www.sciencedirect.com/science/article/pii/S0889157508001956,10.1016/j.jfca.2008.09.008,0889-1575,2009,Journal of Food Composition and Analysis,The composition of camel milk: A meta-analysis of the literature data,R91,Food components identification
,Sarah E. Warren and Brian Bowker and Anand Mohan,https://www.sciencedirect.com/science/article/pii/S088915751931525X,10.1016/j.jfca.2020.103433,0889-1575,2020,Journal of Food Composition and Analysis,Physicochemical properties of beef Tongue as a value-added meat product,R91,Food components identification
,Mirosław Mleczek and Anna Budka and Marek Siwulski and Patrycja Mleczek and Monika Gąsecka and Agnieszka Jasińska and Pavel Kalač and Krzysztof Sobieralski and Przemysław Niedzielski and Jędrzej Proch and Piotr Rzymski,https://www.sciencedirect.com/science/article/pii/S0889157520300508,10.1016/j.jfca.2020.103488,0889-1575,2020,Journal of Food Composition and Analysis,"Investigation of differentiation of metal contents of Agaricus bisporus, Lentinula edodes and Pleurotus ostreatus sold commercially in Poland between 2009 and 2017",R91,Food components identification
,Azizah Abdul-Hamid and R.R. {Raja Sulaiman} and A. Osman and N. Saari,https://www.sciencedirect.com/science/article/pii/S0889157507000403,10.1016/j.jfca.2007.01.005,0889-1575,2007,Journal of Food Composition and Analysis,Preliminary study of the chemical composition of rice milling fractions stabilized by microwave heating,R91,Food components identification
,Lois Englberger and William Aalbersberg and Praveen Ravi and Evelyn Bonnin and Geoffrey C Marks and Maureen H Fitzgerald and Jane Elymore,https://www.sciencedirect.com/science/article/pii/S0889157502001710,10.1016/S0889-1575(02)00171-0,0889-1575,2003,Journal of Food Composition and Analysis,"Further analyses on Micronesian banana, taro, breadfruit and other foods for provitamin A carotenoids and minerals",R91,Food components identification
,L. Herreros-Chavez and F. Oueghlani and A. Morales-Rubio and M.L. Cervera and M. {de la Guardia},https://www.sciencedirect.com/science/article/pii/S0889157518311529,10.1016/j.jfca.2019.103240,0889-1575,2019,Journal of Food Composition and Analysis,Mineral profiles of legumes and fruits through partial least squares energy dispersive X-ray fluorescence,R91,Food components identification
,Gráinne Kent and Laura Kehoe and Breige A. McNulty and Anne P. Nugent and Albert Flynn and Janette Walton,https://www.sciencedirect.com/science/article/pii/S0889157522003453,10.1016/j.jfca.2022.104727,0889-1575,2022,Journal of Food Composition and Analysis,A standardised methodological approach for characterising the plant-based component of population or individual diets,R91,Food components identification
,Andréia Zilio Dinon and Jaqueline Elis {de Melo} and Ana Carolina Maisonnave Arisi,https://www.sciencedirect.com/science/article/pii/S0889157508000690,10.1016/j.jfca.2008.04.008,0889-1575,2008,Journal of Food Composition and Analysis,Monitoring of MON810 genetically modified maize in foods in Brazil from 2005 to 2007,R91,Food components identification
,Barbara F. Harland and Suzette Smikle-Williams and Donald Oberleas,https://www.sciencedirect.com/science/article/pii/S0889157503001248,10.1016/j.jfca.2003.08.005,0889-1575,2004,Journal of Food Composition and Analysis,High performance liquid chromatography analysis of phytate (IP6) in selected foods,R91,Food components identification
,Ellen Anderson and Lois C. Steinfeldt and Jaspreet K.C. Ahuja,https://www.sciencedirect.com/science/article/pii/S0889157504000389,10.1016/j.jfca.2004.03.003,0889-1575,2004,Journal of Food Composition and Analysis,Food and nutrient changes: software designed to enhance data quality,R91,Food components identification
,D.B. Haytowitz and L.E. Lemar and P.R. Pehrsson,https://www.sciencedirect.com/science/article/pii/S0889157509000167,10.1016/j.jfca.2009.01.003,0889-1575,2009,Journal of Food Composition and Analysis,USDA's Nutrient Databank System – A tool for handling data from diverse sources,R91,Food components identification
,Francesca {Di Donato} and Giulia Gornati and Alessandra Biancolillo and Angelo Antonio D’Archivio,https://www.sciencedirect.com/science/article/pii/S0889157521000429,10.1016/j.jfca.2021.103842,0889-1575,2021,Journal of Food Composition and Analysis,ICP-OES analysis coupled with chemometrics for the characterization and the discrimination of high added value Italian Emmer samples,R91,Food components identification
,María Dolores Jimenez and Manuel Lobo and Norma Sammán,https://www.sciencedirect.com/science/article/pii/S0889157519311871,10.1016/j.jfca.2019.103290,0889-1575,2019,Journal of Food Composition and Analysis,12th IFDC 2017 Special Issue – Influence of germination of quinoa (Chenopodium quinoa) and amaranth (Amaranthus) grains on nutritional and techno-functional properties of their flours,R91,Food components identification
,R. {Van Leeuw} and C. Kevers and J. Pincemail and J.O. Defraigne and J. Dommes,https://www.sciencedirect.com/science/article/pii/S0889157514001185,10.1016/j.jfca.2014.07.001,0889-1575,2014,Journal of Food Composition and Analysis,Antioxidant capacity and phenolic composition of red wines from various grape varieties: Specificity of Pinot Noir,R91,Food components identification
,Kwenga Sichilongo and Prince Kolanyane,https://www.sciencedirect.com/science/article/pii/S0889157519312967,10.1016/j.jfca.2020.103428,0889-1575,2020,Journal of Food Composition and Analysis,Chloride adduct tandem mass spectrometry for the quantification of thiamphenicol and florfenicol in bovine muscle,R91,Food components identification
,Jaswinder Anand and Nancy R. Raper and Amy Tong,https://www.sciencedirect.com/science/article/pii/S0889157506000202,10.1016/j.jfca.2006.02.005,0889-1575,2006,Journal of Food Composition and Analysis,Quality assurance during data processing of food and nutrient intakes,R91,Food components identification
,Gonzalo Astray and Cecilia Martinez-Castillo and Juan-Carlos Mejuto and Jesus Simal-Gandara,https://www.sciencedirect.com/science/article/pii/S088915752100243X,10.1016/j.jfca.2021.104043,0889-1575,2021,Journal of Food Composition and Analysis,Metal and metalloid profile as a fingerprint for traceability of wines under any Galician protected designation of origin,R91,Food components identification
,Josefina Barrera and Franco Pedreschi and Juan Pablo Gómez and Rommy N. Zúñiga and María Salomé Mariotti-Celis,https://www.sciencedirect.com/science/article/pii/S0889157520313703,10.1016/j.jfca.2020.103665,0889-1575,2021,Journal of Food Composition and Analysis,In house validation for the direct determination of 5-hydroxymethyl-2-furfural (HMF) in “dulce de leche”,R91,Food components identification
,H.C. Schönfeldt and N. Gibson,https://www.sciencedirect.com/science/article/pii/S0889157509000295,10.1016/j.jfca.2009.01.005,0889-1575,2009,Journal of Food Composition and Analysis,Healthy eating guidelines in the South African context,R91,Food components identification
,H. Matloubi and F. Aflaki and M. Hadjiezadegan,https://www.sciencedirect.com/science/article/pii/S0889157503001315,10.1016/j.jfca.2003.09.005,0889-1575,2004,Journal of Food Composition and Analysis,Effect of γ-irradiation on amino acids content of baby food proteins,R91,Food components identification
,Gisele C.V. Iulianelli and Maria Inês B. Tavares,https://www.sciencedirect.com/science/article/pii/S0889157516300163,10.1016/j.jfca.2016.02.009,0889-1575,2016,Journal of Food Composition and Analysis,Application of solid-state NMR spectroscopy to evaluate cassava genotypes,R91,Food components identification
,Christopher Alan Taylor and Colleen K. Spees and Rosanna P. Watowicz and Stephen Martinez and Neal H. Hooker,https://www.sciencedirect.com/science/article/pii/S0889157517301539,10.1016/j.jfca.2017.06.011,0889-1575,2017,Journal of Food Composition and Analysis,Beware of Greeks bearing gifts: The potential impact of yogurt innovation on dietary intakes,R91,Food components identification
,E.K. Dunford and B. Neal,https://www.sciencedirect.com/science/article/pii/S088915751730176X,10.1016/j.jfca.2017.07.022,0889-1575,2017,Journal of Food Composition and Analysis,FoodSwitch and use of crowdsourcing to inform nutrient databases,R91,Food components identification
,Maria C. Busstra and Paul J.M. Hulshof and Jan Houwen and Lucy Elburg and Peter C.H. Hollman,https://www.sciencedirect.com/science/article/pii/S0889157511001645,10.1016/j.jfca.2011.07.003,0889-1575,2012,Journal of Food Composition and Analysis,Nutrient analysis explained for non-chemists by using interactive e-learning material,R91,Food components identification
,Jasenka {Gajdoš Kljusurić} and Vesna Bosanac and Katarina Šanko and Irena {Colić Barić},https://www.sciencedirect.com/science/article/pii/S0889157516300837,10.1016/j.jfca.2016.06.010,0889-1575,2016,Journal of Food Composition and Analysis,Establishing energy-nutritional variety of boarding school daily menus as a result of regional differences using multivariate analysis,R91,Food components identification
,Le Xin and Mingming Hu and Xin Ma and Shimin Wu and Jun Hao Yoong and Shiqing Chen and Azmil Haizam Ahmad Tarmizi and Guowen Zhang,https://www.sciencedirect.com/science/article/pii/S0889157522004586,10.1016/j.jfca.2022.104840,0889-1575,2022,Journal of Food Composition and Analysis,"Selection of 12 vegetable oils influences the prevalence of polycyclic aromatic hydrocarbons, fatty acids, tocol homologs and total polar components during deep frying",R91,Food components identification
,D. {de Beer} and B.V.P. {du Preez} and E. Joubert,https://www.sciencedirect.com/science/article/pii/S0889157521003549,10.1016/j.jfca.2021.104154,0889-1575,2021,Journal of Food Composition and Analysis,Development of HPLC method for quantification of phenolic compounds in Cyclopia intermedia (honeybush) herbal tea infusions,R91,Food components identification
,Lucyna Polak-Juszczak and Magdalena Podolska,https://www.sciencedirect.com/science/article/pii/S0889157520313636,10.1016/j.jfca.2020.103658,0889-1575,2021,Journal of Food Composition and Analysis,Mineral and toxic metal composition in three commercial species of Gadidae,R91,Food components identification
,Johnson O. Agbede and Valentine A. Aletor,https://www.sciencedirect.com/science/article/pii/S0889157503001662,10.1016/j.jfca.2003.10.011,0889-1575,2005,Journal of Food Composition and Analysis,Studies of the chemical composition and protein quality evaluation of differently processed Canavalia ensiformis and Mucuna pruriens seed flours,R91,Food components identification
,Loïc Perring and Daniel Andrey and Marija Basic-Dvorzak and Daniel Hammer,https://www.sciencedirect.com/science/article/pii/S0889157504001139,10.1016/j.jfca.2004.06.011,0889-1575,2005,Journal of Food Composition and Analysis,"Rapid quantification of iron, copper and zinc in food premixes using energy dispersive X-ray fluorescence",R91,Food components identification
,Carla Motta and Isabel Castanheira and Gerard Bryan Gonzales and Inês Delgado and Duarte Torres and Mariana Santos and Ana Sofia Matos,https://www.sciencedirect.com/science/article/pii/S0889157518310974,10.1016/j.jfca.2018.10.001,0889-1575,2019,Journal of Food Composition and Analysis,"Impact of cooking methods and malting on amino acids content in amaranth, buckwheat and quinoa",R91,Food components identification
,Velimatti Ollilainen and Marina Heinonen and Eeva Linkola and Pertti Varo and Pekka Koivistoinen,https://www.sciencedirect.com/science/article/pii/0889157589900707,10.1016/0889-1575(89)90070-7,0889-1575,1989,Journal of Food Composition and Analysis,Retinoids and carotenoids in finnish foods: Fish and fish products,R91,Food components identification
,Joseph T. Vanderslice and Darla J. Higgs and Jeanne M. Hayes and Gladys Block,https://www.sciencedirect.com/science/article/pii/088915759090018H,10.1016/0889-1575(90)90018-H,0889-1575,1990,Journal of Food Composition and Analysis,Ascorbic acid and dehydroascorbic acid content of foods-as-eaten,R91,Food components identification
,Michael Rychlik,https://www.sciencedirect.com/science/article/pii/S0889157504000560,10.1016/j.jfca.2004.03.017,0889-1575,2004,Journal of Food Composition and Analysis,Revised folate content of foods determined by stable isotope dilution assays,R91,Food components identification
,I. Vieitez and B. Irigaray and N. Callejas and V. González and S. Gimenez and A. Arechavaleta and M Grompone and A. Gámbaro,https://www.sciencedirect.com/science/article/pii/S0889157516300175,10.1016/j.jfca.2016.02.010,0889-1575,2016,Journal of Food Composition and Analysis,Composition of fatty acids and triglycerides in goat cheeses and study of the triglyceride composition of goat milk and cow milk blends,R91,Food components identification
,Ida Soto-Rodríguez and Perla J. Campillo-Velázquez and Jorge Ortega-Martínez and María T. Rodríguez-Estrada and Giovanni Lercker and Hugo S. Garcia,https://www.sciencedirect.com/science/article/pii/S088915750800046X,10.1016/j.jfca.2008.03.008,0889-1575,2008,Journal of Food Composition and Analysis,Cholesterol oxidation in traditional Mexican dried and deep-fried food products,R91,Food components identification
,E. Siebelink and J.H.M. {de Vries} and L. Trijsburg and P.J.M. Hulshof,https://www.sciencedirect.com/science/article/pii/S0889157515001271,10.1016/j.jfca.2015.04.010,0889-1575,2015,Journal of Food Composition and Analysis,Evaluation of calculated energy and macronutrient contents of diets provided in controlled dietary intervention trials by chemical analysis of duplicate portions,R91,Food components identification
,Prapasri Puwastien and Naruemol Pinprapai and Kunchit Judprasong and Tsunenobu Tamura,https://www.sciencedirect.com/science/article/pii/S0889157504000444,10.1016/j.jfca.2004.02.011,0889-1575,2005,Journal of Food Composition and Analysis,International inter-laboratory analyses of food folate,R91,Food components identification
,Anum Khaleeq and Mahmood Ahmed and Rahila Huma and Aiman Mujtaba and Sara Noor and Rimsha Rehman and Tahir Ali Sheikh and Shaista Qamar and Dure Najaf Iqbal and Rima D. Alharthy and Abdul Hameed,https://www.sciencedirect.com/science/article/pii/S0889157522004070,10.1016/j.jfca.2022.104789,0889-1575,2022,Journal of Food Composition and Analysis,Evaluation of trace and heavy metals in different varieties of sauces to characterize their impact on human health,R91,Food components identification
,Marina Heinonen and Velimatti Ollilainen and Eeva Linkola and Pertti Varo and Pekka Koivistoinen,https://www.sciencedirect.com/science/article/pii/0889157588900038,10.1016/0889-1575(88)90003-8,0889-1575,1988,Journal of Food Composition and Analysis,Carotenoids and retinoids in finnish foods: Ready-to-eat foods,R91,Food components identification
,Adewale M. Taiwo and Zainab A. Olowookere and Babatunde S. Bada and Temilade F. Akinhanmi and John A. Oyedepo,https://www.sciencedirect.com/science/article/pii/S0889157522004197,10.1016/j.jfca.2022.104801,0889-1575,2022,Journal of Food Composition and Analysis,"Contamination and health risk assessments of metals in selected fruits from Abeokuta, Southwestern Nigeria",R91,Food components identification
,Ranran Li and Yaoyang Zhang and Jinlong Zhao and Yaqing Wang and Hao Wang and Ziye Zhang and Hong Lin and Zhenxing Li,https://www.sciencedirect.com/science/article/pii/S0889157522003945,10.1016/j.jfca.2022.104776,0889-1575,2022,Journal of Food Composition and Analysis,Quantum-dot-based sandwich lateral flow immunoassay for the rapid detection of shrimp major allergen tropomyosin,R91,Food components identification
,Rajan Sharma and Savita Sharma and Baljit Singh,https://www.sciencedirect.com/science/article/pii/S088915752100572X,10.1016/j.jfca.2021.104372,0889-1575,2022,Journal of Food Composition and Analysis,"Modulation in the bio-functional & technological characteristics, in vitro digestibility, structural and molecular interactions during bioprocessing of proso millet (Panicum miliaceum L.)",R91,Food components identification
,Doreen Yvonne Larvie and Seth Mensah Armah,https://www.sciencedirect.com/science/article/pii/S0889157521002507,10.1016/j.jfca.2021.104050,0889-1575,2021,Journal of Food Composition and Analysis,Estimating phytate intake from the US diet using the NHANES data,R91,Food components identification
,Maria Isabel Grijalva and Mauro E. Valencia and C.Jane Wyatt,https://www.sciencedirect.com/science/article/pii/088915759290027H,10.1016/0889-1575(92)90027-H,0889-1575,1992,Journal of Food Composition and Analysis,"Sodium, potassium, and calcium intake in adults consuming normal diets in northern mexico determined by analytical and calculated methods",R91,Food components identification
,Kazumi Kitta and Mitsuko Ebihara and Tayoshi Iizuka and Reiji Yoshikawa and Kenji Isshiki and Shinichi Kawamoto,https://www.sciencedirect.com/science/article/pii/S0889157504001668,10.1016/j.jfca.2004.10.001,0889-1575,2005,Journal of Food Composition and Analysis,Variations in lipid content and fatty acid composition of major non-glutinous rice cultivars in Japan,R91,Food components identification
,Paul J.M. Hulshof and Tineke {van Roekel-Jansen} and Peter {van de Bovenkamp} and Clive E. West,https://www.sciencedirect.com/science/article/pii/S0889157505000700,10.1016/j.jfca.2005.04.005,0889-1575,2006,Journal of Food Composition and Analysis,Variation in retinol and carotenoid content of milk and milk products in The Netherlands,R91,Food components identification
,Li Xuan Loh and Huei Hong Lee and Sara Stead and Daniel H.J. Ng,https://www.sciencedirect.com/science/article/pii/S0889157521004543,10.1016/j.jfca.2021.104254,0889-1575,2022,Journal of Food Composition and Analysis,Manuka honey authentication by a compact atmospheric solids analysis probe mass spectrometer,R91,Food components identification
,Katalin Bodor and Zsolt Bodor and Alexandru Szép and Róber Szép,https://www.sciencedirect.com/science/article/pii/S0889157521001034,10.1016/j.jfca.2021.103903,0889-1575,2021,Journal of Food Composition and Analysis,Classification and hierarchical cluster analysis of principal Romanian bottled mineral waters,R91,Food components identification
,Priscilla L. Connors and William C. Schuelke,https://www.sciencedirect.com/science/article/pii/S088915752100449X,10.1016/j.jfca.2021.104249,0889-1575,2022,Journal of Food Composition and Analysis,DATE LABELS AND COLLEGE STUDENT PERCEPTIONS OF MILK DRINKABILITY,R91,Food components identification
,R.J.B. Heinemann and P.L. Fagundes and E.A. Pinto and M.V.C. Penteado and U.M. Lanfer-Marquez,https://www.sciencedirect.com/science/article/pii/S0889157504001309,10.1016/j.jfca.2004.07.005,0889-1575,2005,Journal of Food Composition and Analysis,"Comparative study of nutrient composition of commercial brown, parboiled and milled rice from Brazil",R91,Food components identification
